Number of Run,k_f,Noise Level,Figure of Merit
5,500000,-170,47.6609792490999
6,500000,-170,47.7024853072664
7,500000,-170,47.74420813286
8,500000,-170,47.799836929911
9,500000,-170,47.7986810120614
10,500000,-170,47.6726518140645
1,600000,-180,49.1714925884417
2,600000,-180,48.8251538394058
3,600000,-180,48.8910188166216
4,600000,-180,49.1602346683534
5,600000,-180,49.0436426017688
6,600000,-180,49.2961427707295
7,600000,-180,48.9088973643859
8,600000,-180,48.8002610087914
9,600000,-180,48.8120927067576
10,600000,-180,48.8311557508094
1,600000,-179,49.2483247236509
2,600000,-179,49.100581831801
3,600000,-179,48.8853327557863
4,600000,-179,48.6236538946319
5,600000,-179,49.237699153885
6,600000,-179,48.815446615333
7,600000,-179,48.5308262884532
8,600000,-179,48.981821726594
9,600000,-179,48.7985363929375
10,600000,-179,48.9185734905792
1,600000,-178,48.7153519250954
2,600000,-178,49.345948423913
3,600000,-178,49.0053103716722
4,600000,-178,49.0693541860362
5,600000,-178,48.9885847993385
6,600000,-178,49.0660536571772
7,600000,-178,49.0883684928784
8,600000,-178,48.9224376608232
9,600000,-178,48.79162173437
10,600000,-178,49.1117736897931
1,600000,-177,49.0522119618999
2,600000,-177,49.0230074846753
3,600000,-177,49.0317163467631
4,600000,-177,48.6451177162631
5,600000,-177,48.7569830957697
6,600000,-177,49.1096869948229
7,600000,-177,48.8437638589468
8,600000,-177,48.815649487261
9,600000,-177,48.8031615260249
10,600000,-177,48.9535024155007
1,600000,-176,49.3058501905913
2,600000,-176,48.6609726273523
3,600000,-176,49.2943079539886
4,600000,-176,49.0555223028052
5,600000,-176,48.7980476379125
6,600000,-176,49.1615778150359
7,600000,-176,49.2344383715081
8,600000,-176,48.7618547902011
9,600000,-176,49.2023388099033
10,600000,-176,49.2015065595203
1,600000,-175,48.9441721882632
2,600000,-175,49.0118673096506
3,600000,-175,49.1317312791652
4,600000,-175,48.7612288759143
5,600000,-175,49.0776192313039
6,600000,-175,48.9516527553197
7,600000,-175,48.8478585116391
8,600000,-175,48.7123149903179
9,600000,-175,48.8844585499549
10,600000,-175,48.9079153406469
1,600000,-174,48.9888136101868
2,600000,-174,49.1175589780144
3,600000,-174,48.8102045709767
4,600000,-174,48.9863058738869
5,600000,-174,48.5843704559289
6,600000,-174,48.9905408078788
7,600000,-174,48.9660857903179
8,600000,-174,48.9331273315854
9,600000,-174,48.9148213795504
10,600000,-174,48.8253147285517
1,600000,-173,48.7813842034255
2,600000,-173,48.8658477228459
3,600000,-173,49.1995534648648
4,600000,-173,49.2948534768978
5,600000,-173,49.1222154249375
6,600000,-173,48.9407217121688
7,600000,-173,49.4526380646519
8,600000,-173,49.1071067766505
9,600000,-173,48.9606283170779
10,600000,-173,48.8977108844084
1,600000,-172,49.0728387471491
2,600000,-172,49.0346906376918
3,600000,-172,49.1405363837128
4,600000,-172,48.9030453849578
5,600000,-172,49.1388558815099
6,600000,-172,48.9678252972558
7,600000,-172,49.2981596321459
8,600000,-172,49.1735460395698
9,600000,-172,49.1195611640122
10,600000,-172,48.6843875105232
1,600000,-171,49.0887477181313
2,600000,-171,48.8070052106193
3,600000,-171,48.707975755729
4,600000,-171,49.1604498267444
5,600000,-171,49.113834034595
6,600000,-171,49.1561377068479
7,600000,-171,49.1802281812526
8,600000,-171,49.1366980162975
9,600000,-171,48.7766976683889
10,600000,-171,49.1318260085383
1,600000,-170,49.3314311975864
2,600000,-170,48.8393515627096
3,600000,-170,49.1126186392818
4,600000,-170,49.1030109964911
5,600000,-170,48.9733985848893
6,600000,-170,49.0099290372503
7,600000,-170,49.2903177134561
8,600000,-170,49.6286626323752
9,600000,-170,49.5643883189513
10,600000,-170,49.3929269869994
1,700000,-180,50.2039316443595
2,700000,-180,49.7811144799443
3,700000,-180,50.3871841534622
4,700000,-180,49.8075341560069
5,700000,-180,49.7810096876086
6,700000,-180,49.7381068999252
7,700000,-180,50.1389679352486
8,700000,-180,49.9728193246984
9,700000,-180,50.2388644570148
10,700000,-180,49.9911155076733
1,700000,-179,50.3911460042844
2,700000,-179,50.0754231853305
3,700000,-179,49.7996643901951
4,700000,-179,50.1633077332025
5,700000,-179,50.3095253902805
6,700000,-179,49.8152236581677
7,700000,-179,50.2970411323865
8,700000,-179,49.8525736050583
9,700000,-179,49.9246730694123
10,700000,-179,49.8229270795575
1,700000,-178,49.9411291933879
2,700000,-178,50.1215424335474
3,700000,-178,50.0441121099841
4,700000,-178,50.2685518606109
5,700000,-178,50.0594359744042
6,700000,-178,50.1767755837351
7,700000,-178,50.0161488100568
8,700000,-178,49.9177945715076
9,700000,-178,50.1812657483003
10,700000,-178,50.2324790227282
1,700000,-177,50.1074987823571
2,700000,-177,50.2386351454094
3,700000,-177,50.247756258801
4,700000,-177,50.0938982764247
5,700000,-177,50.1829595679529
6,700000,-177,50.3513458955788
7,700000,-177,50.100243062427
8,700000,-177,50.3699747344829
9,700000,-177,50.0608320005048
10,700000,-177,50.111518840705
1,700000,-176,49.7987917821013
2,700000,-176,50.0122958670518
3,700000,-176,50.2458039677795
4,700000,-176,50.1881974969438
5,700000,-176,50.5615666571962
6,700000,-176,50.3376135834325
7,700000,-176,50.0990302176679
8,700000,-176,50.7739783977371
9,700000,-176,50.2715542201986
10,700000,-176,50.3032139283807
1,700000,-175,49.7977046895036
2,700000,-175,50.5735795809273
3,700000,-175,50.1242399155586
4,700000,-175,50.1510507753832
5,700000,-175,50.3723366393659
6,700000,-175,50.0318790463894
7,700000,-175,50.210297820111
8,700000,-175,50.0042658710759
9,700000,-175,50.3545760911801
10,700000,-175,50.1295848630868
1,700000,-174,50.1385873265801
2,700000,-174,50.0148414392285
3,700000,-174,50.1548330608173
4,700000,-174,50.278438436263
5,700000,-174,50.3852910805984
6,700000,-174,50.0997416459926
7,700000,-174,50.8309932466736
8,700000,-174,50.1762035140507
9,700000,-174,49.9505379826739
10,700000,-174,50.650209278571
1,700000,-173,50.3413195044153
2,700000,-173,50.2931220752566
3,700000,-173,50.3719943101383
4,700000,-173,49.8991356376788
5,700000,-173,50.0649135715181
6,700000,-173,50.2603452823509
7,700000,-173,50.0076656298921
8,700000,-173,50.1071038895386
9,700000,-173,50.4064177290942
10,700000,-173,50.2116843890659
1,700000,-172,50.3534438320356
2,700000,-172,50.6672212356098
3,700000,-172,50.224238470204
4,700000,-172,49.9914988060894
5,700000,-172,50.5283072897233
6,700000,-172,50.3273134102955
7,700000,-172,49.8002820495009
8,700000,-172,49.9499857027653
9,700000,-172,50.3307390609874
10,700000,-172,50.2036838494471
1,700000,-171,50.1905609159479
2,700000,-171,50.2353611358768
3,700000,-171,50.206922696526
4,700000,-171,50.3597072993471
5,700000,-171,50.0362836914764
6,700000,-171,50.2468099229421
7,700000,-171,50.5589261400914
8,700000,-171,50.2643047435276
9,700000,-171,50.1792361884394
10,700000,-171,50.2494196658436
1,700000,-170,50.283220463615
2,700000,-170,50.0814126045289
3,700000,-170,50.4491486462886
4,700000,-170,50.2585546333519
5,700000,-170,49.9975404221764
6,700000,-170,49.8057861871934
7,700000,-170,50.213899869346
8,700000,-170,50.0050280504668
9,700000,-170,50.3746426148144
10,700000,-170,50.2963484367831
1,800000,-180,51.0275875737018
2,800000,-180,50.9491631710309
3,800000,-180,51.0158610399716
4,800000,-180,50.6837932376078
5,800000,-180,51.214089427889
6,800000,-180,51.1664278742231
7,800000,-180,51.0065552755448
8,800000,-180,50.958795896445
9,800000,-180,50.6202766054923
10,800000,-180,50.9541380885871
1,800000,-179,51.1850843670101
2,800000,-179,50.8354548666682
3,800000,-179,50.9457371113814
4,800000,-179,50.8920463473115
5,800000,-179,51.0106775387879
6,800000,-179,51.0608788040546
7,800000,-179,50.7900939950954
8,800000,-179,51.0114063749404
9,800000,-179,50.5791967909873
10,800000,-179,51.0120742791166
1,800000,-178,51.3339663662275
2,800000,-178,51.1605415565349
3,800000,-178,50.9188225337563
4,800000,-178,50.9697568826314
5,800000,-178,51.3007743529668
6,800000,-178,50.625741358006
7,800000,-178,51.4182355480148
8,800000,-178,51.251854170215
9,800000,-178,50.9873506087321
10,800000,-178,51.3012441685198
1,800000,-177,51.3701801116606
2,800000,-177,51.1474858386164
3,800000,-177,51.0940270902422
4,800000,-177,51.1943972957581
5,800000,-177,51.1486202495891
6,800000,-177,51.1603572755021
7,800000,-177,50.9401885759764
8,800000,-177,51.2314548854917
9,800000,-177,51.2562596268138
10,800000,-177,51.1325593733842
1,800000,-176,51.0863803076219
2,800000,-176,51.3537120639492
3,800000,-176,51.1985566471451
4,800000,-176,51.1774559599044
5,800000,-176,51.0135593959334
6,800000,-176,51.0796500415738
7,800000,-176,51.1206352869209
8,800000,-176,51.1576670463606
9,800000,-176,51.0130477554862
10,800000,-176,51.398920636245
1,800000,-175,50.8698272669593
2,800000,-175,50.8043943844677
3,800000,-175,50.9037316730441
4,800000,-175,51.1472358016032
5,800000,-175,51.5011457313589
6,800000,-175,51.3847906424776
7,800000,-175,51.27562125857
8,800000,-175,51.302889816004
9,800000,-175,51.184871611037
10,800000,-175,51.264108290646
1,800000,-174,51.1113651462339
2,800000,-174,51.1706304316805
3,800000,-174,51.4472726312835
4,800000,-174,51.2430432948158
5,800000,-174,51.3157110589045
6,800000,-174,51.2847090377205
7,800000,-174,51.2775683065724
8,800000,-174,51.3410899369125
9,800000,-174,51.3074396448592
10,800000,-174,51.3680165151612
1,800000,-173,51.2090420024913
2,800000,-173,51.11928793871
3,800000,-173,51.5002309155895
4,800000,-173,51.226578347807
5,800000,-173,51.6824858075216
6,800000,-173,51.2090701656942
7,800000,-173,51.3703336944989
8,800000,-173,51.1133208055153
9,800000,-173,51.113258561103
10,800000,-173,51.6370270879492
1,800000,-172,51.172700194118
2,800000,-172,50.9678259315798
3,800000,-172,51.1495794021445
4,800000,-172,51.32102928782
5,800000,-172,51.1780562526304
6,800000,-172,51.2906123990984
7,800000,-172,51.0748795169588
8,800000,-172,51.3180701011233
9,800000,-172,51.2722154160162
10,800000,-172,51.1333006872926
1,800000,-171,51.4112919082588
2,800000,-171,51.3165451602987
3,800000,-171,51.1214279520691
4,800000,-171,51.1625657583517
5,800000,-171,51.57143607629
6,800000,-171,51.1390819565495
7,800000,-171,51.4015969496677
8,800000,-171,51.4825793743692
9,800000,-171,51.3605941651802
10,800000,-171,51.3445341460669
1,800000,-170,51.6835174920645
2,800000,-170,51.2277316387738
3,800000,-170,51.1908023115339
4,800000,-170,51.1537410444787
5,800000,-170,51.3294171699091
6,800000,-170,51.0033849746023
7,800000,-170,51.1527961476519
8,800000,-170,51.294410551942
9,800000,-170,51.2947732447245
10,800000,-170,51.1013601606318
