Number of Run,k_f,Noise Level,Output SNR,Baseband SNR,Figure of Merit
1,300000,-180,1.28435412662338e+29,8.83364815626026e+25,1453.93398503559
2,300000,-180,8.73968585209548e+28,1.39975817957144e+26,624.371122072762
3,300000,-180,1.77427160574096e+29,9.10147182272731e+25,1949.43371830304
4,300000,-180,7.33734989257086e+28,5.16247676901775e+25,1421.28482526168
5,300000,-180,9.0437051834421e+28,3.67599746839083e+25,2460.20441015183
6,300000,-180,1.24274040719377e+29,6.25207515529181e+25,1987.72467752872
7,300000,-180,1.04625252372842e+29,5.29244094141314e+25,1976.88086709015
8,300000,-180,6.37951696753629e+28,2.2874674178403e+26,278.889960039714
